refId-ignore,uid,name,phone,email,address,city,Wt_Attribute_Match,Wt_Attribute_Score,id,,
363867C9-EA64-10D0-5F90-092E548CEBE5,base1787,Meghan L. Cox,(413) 833-1270,ac.feugiat@google.com,2617 Fringilla St.,Lowell,"[1786, 2286, 2786]","[3.0, 2.5, 1.5]",926,,
363867C9-EA64-10D0-5F90-092E548CEBE5,defaults287,Meghan L. Cox,(413) 833-1270,ac.feugiat@google.com,,,"[1786, 2286, 2786]","[2.5, 2.5, 1.5]",926,,
BF361384-34C2-ED27-9549-9E37CA638275,base1361,"Hart, Brett",8668286634,ac.ipsum@aol.net,7822 Consectetuer Street,Los Angeles,[1360],[3.0],394,,
ECF46115-2272-C298-583C-7785C47C3982,base62,Hamish B. King,(954) 680-8802,ac.ipsum@google.couk,Ap #162-2297 Curabitur Ave,Kailua,[61],[3.0],1688,,
447534D7-53F4-AC95-5B36-5ACD8B5B3A61,base263,Chaney Castillo,1-601-525-1863,ac.libero.nec@outlook.edu,Ap #474-2388 Vestibulum Av.,Lawton,[262],[3.0],1288,,
DFE65A9C-0B7A-4B65-E67B-DA82BBE542AE,base465,Colby J. Nguyen,(827) 966-7459,ac.mattis.ornare@google.couk,7886 Primis Av.,Bowling Green,[464],[3.0],1513,,
22ACCE2F-6339-4636-5218-B45A3E99D369,base1217,"Wall, Kelsey",1-385-771-3015,ac.mattis.velit@outlook.ca,4301 Felis. Road,Kansas City,[1216],[3.0],235,,
77E97E3B-7D46-4678-2D43-2B44D99941AC,base1194,"Burris, Joshua",6338519634,ac.metus@yahoo.couk,2930 Vitae Rd.,Hartford,[1193],[3.0],210,,
DF538575-1A6E-AC96-02C4-2AC58A652B79,base1257,"Cameron, Hoyt",4320884251,ac.nulla@google.couk,Ap #566-2280 Aenean Road,Pocatello,[1256],[3.0],279,,
126524C9-FE31-CE75-4C1F-511136BAA219,base1264,Kuame Solis,(883) 965-3759,ac.orci@aol.edu,8612 Risus. Ave,Tallahassee,[1263],[3.0],287,,
D404B5E2-4682-C2AA-EEEE-575A481A7D28,base1182,Melvin Gordon,(410) 492-3552,ac.orci@aol.net,"P.O. Box 983, 9640 Magna. St.",New Orleans,[1181],[3.0],198,,
7535E1DE-1E5E-8226-B6D0-49E6B3AC6E13,base1373,Hector Turner,1-921-754-9722,ac.orci@outlook.com,Ap #402-6142 Lorem Ave,Fairbanks,[1372],[3.0],407,,
7ED3611A-C941-A7F7-AB8E-C71878D43BF1,base701,Valentine Chambers,(434) 248-1887,ac.risus.morbi@aol.com,613-1145 Class St.,Lafayette,[700],[3.0],1782,,
48A51D18-A287-CD73-1BBE-74D44B5944C8,base1785,Natalie Franklin,(285) 903-1555,ac.risus.morbi@outlook.com,"P.O. Box 706, 5838 Interdum Rd.",Tuscaloosa,"[1784, 2284, 2784]","[3.0, 2.5, 1.5]",924,,
48A51D18-A287-CD73-1BBE-74D44B5944C8,defaults285,Natalie Franklin,(285) 903-1555,ac.risus.morbi@outlook.com,,,"[1784, 2284, 2784]","[2.5, 2.5, 1.5]",924,,
22E62ABA-6BC6-C67A-91E5-C6482A23ABEC,base1315,Mechelle Stephenson,6621437275,ac.risus.morbi@protonmail.ca,"390 Eu, Street",Waterbury,[1314],[3.0],345,,
B4AA1D65-F83D-B30D-2619-51C9CE594655,base1049,"Crawford, Kato",(616) 445-5247,ac.risus.morbi@protonmail.com,8771 Non Avenue,Virginia Beach,[1048],[3.0],52,,
961E993A-4C9C-9069-D82C-CDC8E84576AC,base1046,Hector Wiley,(676) 156-7394,ac.sem.ut@outlook.org,308-9897 Fringilla Road,Erie,[1045],[3.0],49,,
10E8EED3-C638-46B2-CBAA-23D43BF4EC57,base239,"Stephens, Pamela",(188) 487-0632,ac.tellus.suspendisse@hotmail.net,818-4513 Nec St.,Waterbury,[238],[3.0],1260,,
BE7AC4C1-BA5D-C1A1-9690-4A2744D60C72,base259,Sophia Mcdaniel,(650) 244-1806,ac.turpis@yahoo.ca,Ap #242-6963 Magna. Rd.,Jackson,[258],[3.0],1283,,
3DEF95EB-4E7C-4FCA-8F79-C6A73D50BCB8,base1857,Gage Crawford,1-534-451-7275,ac@aol.com,"P.O. Box 538, 3675 Integer Ave",Harrisburg,"[1856, 2356, 2856]","[3.0, 2.5, 1.5]",1020,,
3DEF95EB-4E7C-4FCA-8F79-C6A73D50BCB8,defaults357,Gage Crawford,1-534-451-7275,ac@aol.com,,,"[1856, 2356, 2856]","[2.5, 2.5, 1.5]",1020,,
5DD757CB-4BE1-6673-ACCF-452AA73FC9B9,base1314,"Donovan, Lael",(573) 373-1838,ac@aol.edu,"P.O. Box 913, 5209 Quis Rd.",Cambridge,[1313],[3.0],344,,
A39395C2-6B84-3EA8-31BB-08F7B127E4DD,base395,"Cash, Keelie C.",1-608-888-6116,ac@hotmail.edu,"P.O. Box 754, 673 Tempor St.",Columbus,[394],[3.0],1436,,
EF1DA505-DE44-A287-5CAD-14445843E937,base1002,Adrian Miranda,1-235-321-3339,ac@outlook.net,Ap #551-2879 Suspendisse Avenue,Salem,[1001],[3.0],3,,
4397EE3E-2D23-AD23-DB48-51184201168C,base1263,"Mcpherson, Abdul L.",7028242138,ac@yahoo.com,Ap #586-5622 Nam Avenue,Colchester,"[775, 1262]","[1.0, 3.0]",1862,,
58E79C97-5AD5-E936-8786-93AE063A1CB0,base776,Angelica Adams,(275) 609-1659,ac@yahoo.com,505-9172 Mi Ave,Hattiesburg,"[775, 1262]","[3.0, 1.0]",1862,,
2DE3E41A-E92C-9C86-5CC1-378BEC3DD751,base1749,Reese Klein,1-709-362-4477,accumsan.convallis@outlook.com,3173 Elit Avenue,Newport News,"[1748, 2248, 2748]","[3.0, 1.5, 1.5]",874,,
2DE3E41A-E92C-9C86-5CC1-378BEC3DD751,defaults249,Reese Klein,000-000-0000,accumsan.convallis@outlook.com,,,"[1748, 2248]","[1.5, 1.5]",875,,
8376DE78-1B35-D2E7-4AD2-A03C817D9783,base1051,Jocelyn K. Whitney,4688167181,accumsan.interdum.libero@icloud.ca,217-2553 Libero Rd.,Fairbanks,[1050],[3.0],55,,
EA5795A5-BB06-6506-DDDF-B649ED04C4E7,base1588,Inga B. Mcconnell,(312) 586-6622,accumsan.interdum@aol.com,576-4734 Velit Ave,Aurora,"[1587, 2087, 2587]","[3.0, 2.5, 1.5]",655,,
EA5795A5-BB06-6506-DDDF-B649ED04C4E7,defaults88,Inga B. Mcconnell,(312) 586-6622,accumsan.interdum@aol.com,,,"[1587, 2087, 2587]","[2.5, 2.5, 1.5]",655,,
471E3E7B-4BD3-C12C-C14E-B7061488193E,base38,"Coleman, Steel",(874) 827-2374,accumsan.interdum@protonmail.ca,Ap #666-1734 Purus St.,Jonesboro,[37],[3.0],1420,,
C257671E-7464-7EDE-E48D-7695DE73B8C3,base242,Justine U. Walter,(833) 248-1298,accumsan.laoreet@icloud.com,"Ap #414-7644 Urna, Av.",Meridian,[241],[3.0],1264,,
AF8DB866-5F5C-689C-33E3-57FEA24A2D89,base1075,"Lynch, Blake U.",(424) 389-8730,accumsan@google.net,346-1615 Pretium Av.,Anchorage,[1074],[2.0],79,,
24FE6AD0-6592-2B18-9362-6250D5C194A2,base1129,Hanna F. Head,(413) 874-2158,accumsan@protonmail.edu,Ap #312-5063 In St.,Knoxville,[1128],[3.0],139,,
5865444A-EA43-9A67-BCEF-B6E3C7431EAD,base1516,Ashton D. Stout,(260) 542-0340,ad.litora.torquent@outlook.com,"P.O. Box 636, 999 Tincidunt, St.",Lansing,"[1515, 2015, 2515]","[3.0, 1.5, 1.5]",564,,
AB6E9261-D3EC-F55B-9700-6E4A937C1161,base1825,"O'donnell, Dorian",(888) 607-3118,adipiscing.elit.aliquam@aol.com,Ap #583-5869 Dolor St.,South Portland,"[1824, 2324, 2824]","[3.0, 2.5, 1.5]",979,,
AB6E9261-D3EC-F55B-9700-6E4A937C1161,defaults325,"O'donnell, Dorian",(888) 607-3118,adipiscing.elit.aliquam@aol.com,,,"[1824, 2324, 2824]","[2.5, 2.5, 1.5]",979,,
3C0CD003-1A74-0A8D-13C5-782163A781E3,base1242,"Melton, Ali",1-634-669-2145,adipiscing.elit@icloud.net,233-4542 Turpis. St.,Cambridge,[1241],[3.0],263,,
EAD11598-C944-19CA-F5A9-E2C1E7EEE7AE,base1614,Salvador Maxwell,(895) 530-5785,adipiscing.enim.mi@google.com,Ap #941-7757 Eget Rd.,Cambridge,"[1613, 2113, 2613]","[3.0, 2.5, 1.5]",695,,
EAD11598-C944-19CA-F5A9-E2C1E7EEE7AE,defaults114,Salvador Maxwell,(895) 530-5785,adipiscing.enim.mi@google.com,,,"[1613, 2113, 2613]","[2.5, 2.5, 1.5]",695,,
5892AB6F-28B6-8149-4351-D10A949E8AA5,base546,Griffin C. Copeland,(296) 875-4159,adipiscing.enim@yahoo.com,"P.O. Box 977, 5072 Consequat Av.",Kaneohe,[545],[3.0],1603,,
719111C2-D861-9C19-1ACB-10424B39841C,base1079,"Burgess, Lareina",1-345-337-1636,adipiscing.fringilla@icloud.ca,"418-3541 A, Ave",Joliet,[1078],[3.0],83,,
742E61D1-B4A7-BC4F-548D-78283DE4E2AC,base737,"James, Brock X.",642860468,adipiscing.fringilla@outlook.com,578 Malesuada St.,Houston,[736],[3.0],1823,,
7842FB49-4481-9B46-393D-1F5C884E982D,base990,"Dickson, Morgan R.",1-265-235-6866,adipiscing.ligula@aol.com,643-7665 Tristique St.,Lexington,[989],[3.0],2101,,
B097E1C9-AE79-1C7D-860C-EE35E3EF3487,base1761,"Wilcox, Kennan",9518764629,adipiscing.mauris@aol.com,Ap #183-4301 In Av.,Springfield,"[1760, 2260, 2760]","[3.0, 2.5, 1.5]",892,,
B097E1C9-AE79-1C7D-860C-EE35E3EF3487,defaults261,"Wilcox, Kennan",9518764629,adipiscing.mauris@aol.com,,,"[1760, 2260, 2760]","[2.5, 2.5, 1.5]",892,,
162BC1ED-959F-A489-394A-48FA481CC61D,base518,Gwendolyn Ballard,(615) 267-7511,adipiscing.mauris@hotmail.com,8900 Mauris Av.,Savannah,[517],[3.0],1571,,
EE9895AC-BC87-2E6B-E975-EDC1601AC99D,base1781,Aaron K. Deleon,1-271-515-8281,adipiscing.non@yahoo.com,"288-9271 Pede, Rd.",Gillette,"[1780, 2280, 2780]","[3.0, 2.5, 1.5]",920,,
EE9895AC-BC87-2E6B-E975-EDC1601AC99D,defaults281,Aaron K. Deleon,1-271-515-8281,adipiscing.non@yahoo.com,,,"[1780, 2280, 2780]","[2.5, 2.5, 1.5]",920,,
19111C06-5D76-C144-9E77-55A6EF84BE93,base893,"Lamb, Samuel K.",(916) 128-1207,adipiscing@hotmail.com,Ap #921-4462 Nulla Av.,Salt Lake City,"[463, 892]","[1.0, 3.0]",1512,,
A013C4F4-DA19-BD7B-BD16-BA895D930E99,base464,Ora Q. Bauer,1-815-344-5663,adipiscing@hotmail.com,"P.O. Box 661, 9863 Gravida. Rd.",Georgia,"[463, 892]","[3.0, 1.0]",1512,,
135E9573-B6F4-8D5A-8E39-8A35290A1616,base1692,Nathan V. Pratt,1-667-627-1483,adipiscing@outlook.com,461-166 Pellentesque Av.,Fort Collins,"[1691, 2191, 2691]","[3.0, 2.5, 1.5]",805,,
135E9573-B6F4-8D5A-8E39-8A35290A1616,defaults192,Nathan V. Pratt,1-667-627-1483,adipiscing@outlook.com,,,"[1691, 2191, 2691]","[2.5, 2.5, 1.5]",805,,
89D8D29E-1AF0-8ADB-A5AA-BBB13EB17E0E,base366,Ryder K. Brennan,(342) 426-5126,adipiscing@yahoo.couk,Ap #478-2209 Eleifend Ave,Hillsboro,[365],[3.0],1405,,
D1CDA72D-9136-E7C1-B57A-DEA77D341E81,base1254,Wyatt Bailey,(431) 460-2087,aenean.egestas@google.com,Ap #744-7861 Ligula Av.,Topeka,[1253],[3.0],276,,
A8ED491B-F4EC-2491-B36D-29EF6EC91D93,base1658,"Taylor, Murphy",1-498-282-1216,aenean.eget.metus@hotmail.com,"P.O. Box 409, 5605 Risus Rd.",Birmingham,"[1657, 2157, 2657]","[3.0, 1.5, 1.5]",759,,
616FC1AA-6DA0-72DB-4887-A53A01BBC795,base963,"Mcknight, Abraham N.",(476) 714-1221,aenean.eget@aol.com,9220 Ipsum Rd.,Toledo,[962],[3.0],2070,,
6C336CBE-132C-CAB3-05E2-3AB50BDB0C52,base177,Zane Rollins,2735416386,aenean.eget@icloud.ca,394-7737 Dolor. Av.,Norman,[176],[3.0],906,,
61691125-74EA-59D3-2272-9DE5FDD9B5EC,base1183,"Wilkerson, Mark D.",1-142-632-2615,aenean.euismod.mauris@aol.couk,657-7954 Scelerisque Ave,Reading,[1182],[3.0],199,,
F8BD2E9B-A192-2B9C-A9C0-D7F882C96139,base744,"Mccullough, Savannah",6585614377,aenean.euismod.mauris@outlook.com,"P.O. Box 616, 1592 Sit Av.",Columbus,[743],[3.0],1830,,
20012142-9B7F-DD67-4E96-55999985C2CE,base567,"Dejesus, Raymond",3521545477,aenean@hotmail.com,4208 Sed Road,Helena,"[362, 566, 724]","[1.0, 3.0, 1.0]",1402,,
46CFC3CD-0159-7F32-5792-71EC0F79CAC8,base363,"Simpson, Inga J.",1-366-771-9652,aenean@hotmail.com,484-8397 Mauris Ave,Fort Worth,"[362, 566, 724]","[3.0, 1.0, 1.0]",1402,,
BDE91C0D-B66D-15F9-2011-4F7EA9A69AC4,base725,"Hays, Orla V.",1-604-538-6175,aenean@hotmail.com,"Ap #340-8864 Amet, Rd.",Lawton,"[362, 566, 724]","[1.0, 1.0, 3.0]",1402,,
B4C9438C-B3C3-2AA5-66C4-27A06746CAA7,base812,Eric Hopper,(386) 278-0576,aliquam.adipiscing.lacus@icloud.com,Ap #815-1796 Ultricies Rd.,Virginia Beach,[811],[3.0],1905,,
EF36B8A7-A60F-8C67-3E68-AECE9ADDD68F,base1088,Vivian May,1-907-841-2216,aliquam.arcu.aliquam@aol.edu,3339 Vel Ave,Fayetteville,[1087],[3.0],93,,
7A91A569-4460-449B-9C27-08AA7727B571,base1037,"Clayton, Jason",8393671328,aliquam.arcu.aliquam@hotmail.ca,302-1842 Nunc Rd.,Norman,[1036],[3.0],39,,
BE12910A-266C-9C40-46DF-2DED3E1469CD,base614,"Bates, Ursula",5275727933,aliquam.auctor.velit@aol.com,674-3228 Pellentesque. Rd.,Little Rock,[613],[3.0],1681,,
275931CC-BBAA-8E5A-F2B2-319C016CE72C,base1433,Malachi E. Harmon,1-742-778-6742,aliquam.auctor.velit@google.net,Ap #581-3605 Quisque St.,West Jordan,[1432],[3.0],473,,
8EB85E1A-06AE-3908-C54C-B42E9C4F4BA5,base1065,Rinah W. Burris,1-728-473-5784,aliquam.enim@icloud.couk,Ap #315-2647 Tincidunt St.,Warren,[1064],[3.0],68,,
4FE93C10-3A8F-2F1E-BC83-975E1562E557,base77,"Howell, Evelyn",1-618-163-9347,aliquam.erat@outlook.org,Ap #755-6110 Arcu. St.,Houston,[76],[3.0],1858,,
D23696E9-D6E4-1776-DAAD-2FDBB3A8351A,base1417,"Bullock, Coby",(845) 788-2750,aliquam.eros@google.edu,Ap #654-924 Sociis St.,Phoenix,[1416],[3.0],455,,
5E221EC1-3839-6599-0991-34FE8F60DA9A,base1964,Leo Delgado,1-233-722-9281,aliquam.eros@outlook.com,Ap #178-9299 Nec St.,Tuscaloosa,"[1963, 2463, 2963]","[3.0, 2.5, 1.5]",1169,,
5E221EC1-3839-6599-0991-34FE8F60DA9A,defaults464,Leo Delgado,1-233-722-9281,aliquam.eros@outlook.com,,,"[1963, 2463, 2963]","[2.5, 2.5, 1.5]",1169,,
A339BCEC-9914-A197-48D3-481A586B03C7,base848,Jada Weeks,1-575-865-1838,aliquam.eros@yahoo.com,Ap #195-8365 Curabitur Road,Pittsburgh,[847],[3.0],1942,,
6185D779-E619-06EA-A16E-DA48CB2DE176,base656,"Edwards, Chiquita",1-485-442-7573,aliquam.nec.enim@google.com,"P.O. Box 128, 3863 Est, Rd.",Racine,[655],[3.0],1728,,
8374110C-487A-97DE-9D2E-C53D78ED57E5,base1367,"Guy, Cally",6197555237,aliquam.rutrum@yahoo.net,114 Scelerisque Ave,Baltimore,[1366],[3.0],400,,
81AF48C9-3262-3B84-633C-414CA825DC59,base881,"Solomon, Janna",1-761-256-6625,aliquam.ultrices.iaculis@hotmail.com,"P.O. Box 353, 9681 Sit St.",St. Petersburg,[880],[3.0],1983,,
551B31E6-B89C-651A-AF3A-D4CD845BE886,base862,"Jefferson, Yeo",(266) 847-7552,aliquam.ultrices@google.com,708-6557 Tristique Rd.,Louisville,[861],[3.0],1957,,
811F1E3D-4714-C149-2A32-811CC9CE7881,base620,Pamela Price,(467) 704-7883,aliquam.vulputate.ullamcorper@hotmail.com,Ap #875-8463 Eu St.,Cheyenne,[619],[3.0],1687,,
664C8A82-1886-9DAA-65CC-F679E872D361,base26,"Brown, Florence Q.",(686) 614-5111,aliquam@aol.com,"P.O. Box 561, 330 Montes, Av.",Las Vegas,"[25, 772]","[3.0, 1.0]",1274,,
B65D5594-CA9F-0555-1432-09FA26EB5AA0,base773,"Harris, Ryan E.",1-218-662-8214,aliquam@aol.com,"P.O. Box 688, 8464 Lacinia Av.",Richmond,"[25, 772]","[1.0, 3.0]",1274,,
6D98EB78-4379-1C33-AAEA-94C3D971D49F,base1873,"Huber, Katelyn D.",(448) 887-8328,aliquam@google.com,616-7910 Porta St.,Worcester,"[1872, 2372, 2872]","[3.0, 2.5, 1.5]",1040,,
6D98EB78-4379-1C33-AAEA-94C3D971D49F,defaults373,"Huber, Katelyn D.",(448) 887-8328,aliquam@google.com,,,"[1872, 2372, 2872]","[2.5, 2.5, 1.5]",1040,,
4B61B9C9-5E3C-695B-3B1A-73C224CE3BD6,base1179,Flynn Cotton,1136515662,aliquam@icloud.ca,5194 Donec Avenue,Naperville,[1178],[3.0],194,,
2F3A8352-5CCA-D9BE-448D-8B1D97B34746,base974,Paul Hancock,(833) 630-2623,aliquam@outlook.com,9137 Ut Street,Columbia,[973],[3.0],2085,,
BB952AE2-0FC8-E572-2DE6-999DDBC15719,base1343,Celeste D. Nolan,1-483-950-1474,aliquam@outlook.edu,752-4717 Lacus. Rd.,Kapolei,[1342],[3.0],376,,
B31D36F9-3D02-E22D-339E-17753F977977,base228,"Hopper, Candice",5341453754,aliquam@protonmail.ca,Ap #284-1531 Integer Street,Independence,[227],[3.0],1247,,
A841F228-059B-4955-70D5-0E18C47F0758,base1040,"Hill, Tanisha H.",9322678334,aliquam@protonmail.edu,2419 Feugiat Road,Hilo,[1039],[3.0],42,,
2057B26C-6916-5F58-0AD0-A79736BB43AD,base1480,Cassandra Jenkins,1-523-721-7335,aliquam@yahoo.ca,230-1878 Dignissim Avenue,Chandler,[1479],[3.0],523,,
32E984BC-91EB-1BE4-8E2D-4C79D65A46BF,base448,Denton A. O'Neill,(748) 581-7982,aliquam@yahoo.com,Ap #178-7430 A Av.,Jonesboro,[447],[3.0],1495,,
B1D58468-5848-8E97-A71B-CEAF51C2EACB,base1010,"Durham, Ocean",7591977333,aliquet.libero.integer@google.net,Ap #759-1517 Pellentesque St.,New Orleans,[1009],[3.0],11,,
A12896EB-83E6-66AD-9863-9E214245285E,base708,"David, Ray D.",1-261-291-4907,aliquet.libero@google.com,655-5083 Neque. Av.,Houston,[707],[3.0],1789,,
9661D41B-1436-71D2-66E0-C5D66EB3262C,base560,"Reilly, Eaton",1-875-863-5943,aliquet.libero@hotmail.com,5400 Nisl. Street,Fayetteville,[559],[3.0],1619,,
63DBE77E-01B1-B7D1-D55C-422FBA6435A5,base616,Aurelia Summers,134032348,aliquet.lobortis.nisi@icloud.com,Ap #721-6957 Eget Road,Davenport,[615],[3.0],1683,,
